"length","weight"
27,0.23
31,0.44
46,1.87
57,2.24
28,0.33
26,0.28
47,2.54
25,0.17
56,3.46
42,0.93
31,0.51
14,0.13
17,0.1
17,0.08
20,0.19
30,0.37
12,0.04
23,0.26
20,0.32
10,0.04
32,0.65
71,7.61
44,0.95
86,9.04
45,1.34
8,0.02
19,0.14
24,0.4
93,7.57
57,2.38
72,3.85
50,1.6
26,0.3
62,2.23
10,0.03
38,0.72
33,0.45
18,0.11
32,0.42
70,3.69
39,0.83
50,1.63
24,0.19
53,1.37
56,3.11
93,9.85
17,0.09
75,9.93
17,0.09
23,0.18
53,1.66
25,0.25
46,1.38
24,0.35
18,0.21
38,0.85
60,3.26
49,1.64
60,4.08
26,0.31
25,0.43
51,1.59
52,1.26
37,1.23
16,0.08
44,1.13
19,0.2
52,1.87
38,0.85
34,0.86
28,0.51
41,1.2
86,8.84
12,0.02
89,7.25
45,1.15
39,3.65
47,1.26
33,0.34
41,0.97
40,1.5
41,0.91
29,0.57
25,0.21
16,0.08
7,0.02
65,3.68
35,0.71
55,2.23
20,0.15
60,2.78
20,0.15
38,0.8
18,0.12
20,0.24
30,0.49
13,0.05
15,0.06
15,0.07
12,0.04
